File name	WAVE0002.TXT	V 1.11									
Title comment	Nov-20										
Trigger Time	24/06/2011 15:39										
Ch	Mode	Range	Comment	Scaling	Ratio	Offset					
CH-1	Tc	2000 C	P11	Off	-	-					
CH-2	Tc	2000 C	P12	Off	-	-					
CH-3	Tc	2000 C	P13	Off	-	-					
CH-4	Tc	2000 C	P14	Off	-	-					
CH-5	Tc	2000 C	P15	Off	-	-					
CH-6	Tc	2000 C	P16	Off	-	-					
CH-7	Tc	2000 C	P17	Off	-	-					
CH-8	Tc	2000 C	P18	Off	-	-					
CH-9	Tc	2000 C	P19	Off	-	-					
CH-10	Tc	2000 C	P20	Off	-	-					
Time	CH-1[C]	CH-2[C]	CH-3[C]	CH-4[C]	CH-5[C]	CH-6[C]	CH-7[C]	CH-8[C]	CH-9[C]	CH-10[C]	Event
'24-06-11 15:39:42	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:39:43	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 15:39:44	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:39:45	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:39:46	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:39:47	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 15:39:48	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 15:39:49	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:39:50	2,11E+01	2,15E+01	2,14E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:39:51	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 15:39:52	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 15:39:53	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 15:39:54	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
